ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
43016302,"5415 NW 27th St #A1, Fort Lauderdale, FL 33313","Fort Lauderdale",FL,155000,1910,1.23,40.83,527,15500,749,213,150,A11994190,2,2,1973,"TOWNHOUSE"
26415773,"5318 Beryl Cv, San Antonio, TX 78242","San Antonio",TX,160000,1971,1.23,52.5,700,16000,773,348,150,1931007,5,2,1979,"SINGLE_FAMILY"
52953610,"20 SW 3rd St, Webster, FL 33597","Webster",FL,125000,1538,1.23,69.08,720,12500,604,64,150,TB8467818,3,2,1992,"MANUFACTURED"
95046338,"2233 Baywood Way, Willits, CA 95490","Willits",CA,125000,1535,1.23,67.53,703,12500,604,78,150,326024084,1,1,2016,"SINGLE_FAMILY"
2109221062,"7601 Simmerly Road, Laytonville, CA 95454","Laytonville",CA,149000,1822,1.22,65.18,809,14900,720,143,150,325096120,1,1,0,"SINGLE_FAMILY"
19003865,"8536 Kern Canyon Rd Space 184, Bakersfield, CA 93306","Bakersfield",CA,130000,1589,1.22,73.73,799,13000,628,12,150,WS26055659,2,2,1988,"MANUFACTURED"
70146340,"5 Circle Dr, Reidsville, NC 27320","Reidsville",NC,94900,1159,1.22,64.98,514,9490,458,37,150,10081233,2,1,1927,"SINGLE_FAMILY"
458018501,"120 Cottage St #A, Auburn, NY 13021","Auburn",NY,139900,1704,1.22,55.12,643,13990,676,235,150,R1649619,2,1,2023,"TOWNHOUSE"
458018588,"120 Cottage St #B, Auburn, NY 13021","Auburn",NY,139900,1704,1.22,55.12,643,13990,676,235,150,R1649620,2,1,2023,"TOWNHOUSE"
450774500,"434 NW 85th Street Rd #434, Miami, FL 33150","Miami",FL,224000,2725,1.22,39.28,733,22400,1082,343,200,A11980846,4,2,1958,"TOWNHOUSE"
2064733669,"22 Mudd Hole Rd, Gap Mills, WV 24941","Gap Mills",WV,79000,960,1.22,60.26,397,7900,382,32,150,25-749,3,1,1973,"SINGLE_FAMILY"
455932722,"1325 Fairview Avenue N, Seattle, WA 98102","Seattle",WA,150000,1817,1.21,67.18,840,15000,725,102,150,2420257,1,1,1984,"SINGLE_FAMILY"
2057302658,"0 Sage Riv, Newberry, MI 49868","Newberry",MI,105900,1280,1.21,59.87,528,10590,512,90,150,25-266,2,1,2003,"SINGLE_FAMILY"
2057066548,"4536 Laine Ave, New Orleans, LA 70126","New Orleans",LA,189000,2282,1.21,61.99,976,18900,913,243,150,2540521,3,2,2022,"SINGLE_FAMILY"
52722984,"206 Commercial St, Edcouch, TX 78538","Edcouch",TX,99900,1200,1.20,45.75,381,9990,483,186,150,496415,3,2,2016,"SINGLE_FAMILY"
78005040,"2801 Woodlawn Ave, Moss Point, MS 39563","Moss Point",MS,119500,1435,1.20,55.51,553,11950,577,155,150,4138768,3,3,1958,"SINGLE_FAMILY"
70026561,"203 Shawnee Dr, Lagrange, GA 30240","Lagrange",GA,257000,3082,1.20,61.48,1317,25700,1242,324,200,10667526,4,4,1988,"SINGLE_FAMILY"
68885091,"102 N 3910 W, Hurricane, UT 84737","Hurricane",UT,125000,1493,1.19,54.2,565,12500,604,94,150,26-269792,2,2,1970,"MANUFACTURED"
70156091,"22 Circle Dr, Reidsville, NC 27320","Reidsville",NC,94900,1132,1.19,63.21,500,9490,458,24,150,10081230,2,1,1927,"SINGLE_FAMILY"
41812416,"124 Glendale St, Jackson, TN 38301","Jackson",TN,159900,1901,1.19,66.48,886,15990,773,93,150,2505511,3,2,1935,"SINGLE_FAMILY"
126676930,"108 Hill St, Dowagiac, MI 49047","Dowagiac",MI,200000,2377,1.19,46.78,780,20000,966,431,200,26008647,3,3,1900,"SINGLE_FAMILY"
43468669,"2100 Leewood Blvd, Melbourne, FL 32935","Melbourne",FL,153000,1817,1.19,55.69,710,15300,739,218,150,1070897,3,2,1961,"SINGLE_FAMILY"
88275828,"15930 Turner St, Detroit, MI 48238","Detroit",MI,99800,1183,1.19,53.39,444,9980,482,107,150,20251059219,6,2,1927,"MULTI_FAMILY"
18108625,"32561 San Miguelito Dr, Thousand Palms, CA 92276","Thousand Palms",CA,145000,1701,1.17,33.35,403,14500,701,125,150,219144349DA,2,1,1965,"MANUFACTURED"
2070353378,"0 Piney Wood Rd, Saluda, SC 29138","Saluda",SC,124900,1464,1.17,62.57,651,12490,603,59,150,629995,0,0,0,"LOT"
45779821,"1817 Wisconsin Ave, Bradenton, FL 34207","Bradenton",FL,120000,1404,1.17,31.4,314,12000,580,240,150,11673332,2,2,1960,"MANUFACTURED"
232006729,"20 County Road 505, Mc Crory, AR 72101","Mc Crory",AR,199000,2328,1.17,71.67,1189,19900,961,28,150,26013242,6,4,1985,"SINGLE_FAMILY"
122733040,"100 N Files St, Itasca, TX 76055","Itasca",TX,164900,1928,1.17,65.14,895,16490,797,86,150,21189193,3,3,1949,"SINGLE_FAMILY"
2057895393,"5 A Lester Road, Ellensburg, WA 98926","Ellensburg",WA,149000,1742,1.17,63.14,784,14900,720,88,150,2496075,0,0,0,"LOT"
2057895859,"3 A Lester Road, Ellensburg, WA 98926","Ellensburg",WA,149000,1742,1.17,63.14,784,14900,720,88,150,2494790,0,0,0,"LOT"
88225153,"10147 Somerset Ave, Detroit, MI 48224","Detroit",MI,110000,1281,1.16,57.48,527,11000,531,73,150,20261014348,3,1,1939,"SINGLE_FAMILY"
77999295,"2722 E David Dr, Gulfport, MS 39503","Gulfport",MS,115000,1338,1.16,58.34,559,11500,556,73,150,4126021,3,2,1970,"SINGLE_FAMILY"
47920201,"2290 Red Oak Rd, Perry, FL 32348","Perry",FL,115000,1337,1.16,62.07,595,11500,556,37,150,388091,2,1,1998,"SINGLE_FAMILY"
