ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
47610398,"3313 Central Ave, Sarasota, FL 34234","Sarasota",FL,245000,2113,0.86,26.35,538,24500,1184,191,200,A4680153,3,2,1956,"SINGLE_FAMILY"
26310689,"2823 Tillie, San Antonio, TX 78222","San Antonio",TX,159800,1297,0.81,26.3,350,15980,772,25,150,1948120,3,1,1963,"SINGLE_FAMILY"
97588053,"2066 DRY CREEK, Canyon Lake, TX 78133","Canyon Lake",TX,259000,2332,0.90,26.25,566,25900,1251,314,200,1949905,2,3,2022,"SINGLE_FAMILY"
46872759,"137 W 34th Street, Riviera Beach, FL 33404","Riviera Beach",FL,345000,2831,0.82,26.16,752,34500,1667,212,200,R11163546,3,2,1955,"SINGLE_FAMILY"
2098203082,"1500 Hummingbird Ct APT 1, Pharr, TX 78577","Pharr",TX,145000,1438,0.99,26.12,316,14500,701,272,150,479280,2,3,2013,"TOWNHOUSE"
101344699,"3008 W Flournoy St #3, Chicago, IL 60612","Chicago",IL,232999,2134,0.92,25.9,503,23300,1126,105,200,11892842,3,2,2007,"CONDO"
2067855906,"Lot#57 Twin Oaks Mountain Boulevard, Sparta, NC 28675","Sparta",NC,89500,895,1.00,25.86,193,8950,432,45,150,260957,0,0,0,"LOT"
78826142,"4311 Gordon St, Greenville, TX 75401","Greenville",TX,179000,1767,0.99,25.58,382,17900,865,371,150,21118166,3,2,1965,"SINGLE_FAMILY"
73596453,"1332 Olive St, Louisville, KY 40211","Louisville",KY,110000,1028,0.93,25.43,233,11000,531,113,150,1710777,2,1,0,"SINGLE_FAMILY"
49624719,"5500 McPherson Rd Unit 28, Laredo, TX 78041","Laredo",TX,154880,1294,0.84,25.29,326,15488,748,69,150,20254202,2,2,1981,"TOWNHOUSE"
2095975562,"Tbd Ripple Brook Dr, Bastrop, TX 78602","Bastrop",TX,140000,1298,0.93,25.12,293,14000,676,179,150,6531824,0,0,0,"LOT"
342062231,"123 Bluestem Dr, Elgin, TX 78621","Elgin",TX,202500,1927,0.95,24.92,420,20250,978,258,200,1703349,3,3,2024,"SINGLE_FAMILY"
249153705,"6155 Highway 56, Okmulgee, OK 74447","Okmulgee",OK,145000,1235,0.85,24.82,300,14500,701,85,150,2609380,3,2,1962,"SINGLE_FAMILY"
2056258096,"222 Spring St, Taylorsville, MS 39168","Taylorsville",MS,179000,1450,0.81,24.57,367,17900,865,69,150,146396,3,2,1950,"SINGLE_FAMILY"
91853071,"88 Hanson Road, China, ME 04358","China",ME,397500,3250,0.82,24.54,813,39750,1920,317,200,1644487,4,2,2008,"SINGLE_FAMILY"
193800794,"130 N Jab Dr, Zapata, TX 78076","Zapata",TX,350000,2907,0.83,24.53,716,35000,1691,300,200,20260051,6,3,1977,"SINGLE_FAMILY"
43547723,"2144 Harbor Blvd, Pt Charlotte, FL 33952","Pt Charlotte",FL,299000,2342,0.78,24.42,609,29900,1445,89,200,2026016313,5,2,1961,"SINGLE_FAMILY"
42797745,"14401 Front Beach Rd #423, Panama City Beach, FL 32413","Panama City Beach",FL,174900,1521,0.87,24.09,351,17490,845,175,150,779059,0,1,1965,"CONDO"
263104,"1808 Green Acres Rd, Jacksonville, AR 72076","Jacksonville",AR,136500,1169,0.86,23.94,272,13650,659,87,150,26010061,3,2,1968,"SINGLE_FAMILY"
72829493,"2716 Forsyth Ln, Montgomery, AL 36116","Montgomery",AL,189900,1466,0.77,23.81,377,18990,917,22,150,584802,4,2,1963,"SINGLE_FAMILY"
92106207,"3609 McVay St SW, Huntsville, AL 35805","Huntsville",AL,140000,1152,0.82,23.8,278,14000,676,48,150,21908373,2,1,1950,"SINGLE_FAMILY"
